"HAUS","ANLAGE","ABLEINH","TOUR","ME_MA_ID","CITY1","CITY2","HOUSE_NUM1","POST_CODE1","EQUNR","ENTSCHEIDUNG","REGEL"
"lJLUDQtWwAzSqTtFyTLVIWTgLTLnoeTQMNrrTWl","LBcRLAURkRHiWRMBcUXSKzYexTC+AGRQYXvJRgi","J09C3401","J09C_J","SYbvqMvZfHcTgF/rKyIzhRZaiSYRY/YJBbmmpbW","Hagen","Hohenlimburg","6","58093","VXYqwWPrbaRIPlxIMRevJVGYOCHlkQqWYPRdzCT","EVU","Standard nach Anzahl Stromzähler"
"YoElPeSndVgzQVHuZV/idAxNwigij+bmpSQOBDS","HQWQUXNRZWRUpJoWiULwOsjcUcjRMwQVMxKgJtL","J09C1631","J09C_J","KAERWsKEtIEKAOVJwpdVSjaRcxYRSUBZUQTJfWh","Hagen","Herbeck","11","58093","sPRcSFfUbvBEhc+lUKloSIReBLrWRabdsnahfON","EVU","Standard nach Anzahl Stromzähler"
"RUQWWRLxZqbZzSbcuKVyNYQiduQivUYVuJfmKjj","rDTkmaQzQtYVpiUzRjZnzUObIgnNuhERMFGtpUM","J09C5083","J09C","FTBS+UVzUZCNxAIjUEE/DXgGWPtGUYWsAJyc+vS","Altena","Dahle","57","58762","XDOJtXGqyiEC/XXvWWVoDKmR/UWmdLgxmMvAQkj","KSA","Standard nach Anzahl Stromzähler"
"UwwnTgcyQnNKSzXeFWSewKVxvLBZU+AQYTUHsZT","DKYjaNxrbM/bIr/VzFXCaRSrQvaXiPtjhTZvxFW","J09C1622","J09C_J","gANgWRTNlSjQfBsQYuQkiy+ZZpEUViZDAhvZOpS","Hagen","Halden","63","58093","ZXsQ/KmKyZiSvIbYbKJlTztgWTIhXWtckXMzEew","EVU","Standard nach Anzahl Stromzähler"
"IbpVhPOIRBFkvAeFwAgpOYRpLGwtgHHvRlYHeUs","lYMLLkKflkLfLrgNWXImUQuXsrRvDldocQXZTVW","J09C1622","J09C_J","YwVMwENY+YMxTKWYQHDNpTXXeQpBZoKpmfxVilV","Hagen","Halden","48","58093","BywSPlPZUXUXKsqkLFFReKTUSqYJTTBxeVWDZSL","EVU","Standard nach Anzahl Stromzähler"
"r+jGUoSwjBRmFwFzKxtuwFjiiaDmUz+vdUfoyCx","sEVODgYixYPUMIKeS+TkkHYyQLNoWWRXRSRYVJn","J09C6104","J09C","Lmc+ipglSPsVelcVjbfsUlCBtYH/uSCvQxrytXf","Neuenrade","Neuenrade","20","58809","ZiZWdWCIQTHleybewZJWUOjiSwiXpDpYXJUFiij","KSA","Standard nach Anzahl Stromzähler"
"TFTyIxj+Smtt/WAWUaVTkQEIUyGizGQRGNVIUVQ","nQUrFWTXWgCSPXpBCtiAqLVWlGYWBiZASJR+/uj","J09C1622","J09C_J","vkGjZVOXVPTpFVMPUaTYvHlmLRURIUREjzJT/Ok","Hagen","Halden","7","58093","PVTwFWXXU/pGRQduViYZdWVfjWvIrgjfYRLMnXV","KSA","Standard nach Anzahl Stromzähler"
"s+Uw+SKGoYaSkzhBlcKXTERBxZlIZafWdSQZcJj","LYCFnnXmyWDOMzQncxryCWTZvxXgACOPBQUSP+b","J09C5084","J09C","dGWP+zEzMY/agiJbAKfbnTXImwfIIDvmtSRCnaZ","Altena","Dahle","27","58762","galThU/fpZtzZSLbpHRxWnT/XLMQPSyXKwwJEjS","KSA","Standard nach Anzahl Stromzähler"
"PV+AEQYaFUgUTw+SeTOhRDkPDVQ/eZfKVEQqOvp","XbgS+XTkAdVcDAXWYSMYXjOjSCkQCTfwefIkSZw","J09C1622","J09C_J","ZXlRUlQnbRozXkGcc/WwoKUEQmMMh/uUTHwunJS","Hagen","Halden","23","58093","tfnPvUENbSKLsTGiBcLZUVJWrwnYxZlAgZxYRZc","EVU","Standard nach Anzahl Stromzähler"
"wnQiQGXIlXptYAmyNWZqyJilQ+rUXglZQfiKTCq","jigvSAWbxVntggUeUARTtHYzdRN/GSFgMGgiKjK","J09C6106","J09C","tVU+mSPkjYZKJmyCyOxX/UrZtlXwVwfuKjoXveL","Neuenrade","Neuenrade","83","58809","UMMVTFYtVOoYQASSHUcVOwVrjXTJYZVpyQKMExm","KSA","Standard nach Anzahl Stromzähler"
"OIHPKhqXuDGERlgARKyARxqXbhCZCEXdHYTuwSG","THQPgPZkZWrXQqOV+WkjGZAZZdzJrZtiDNfoapL","J09C4011","J09C_L","PQHZvNkUbzGNhicgpfCd/HdLiV/yXRqcvnIvCCV","Lüdenscheid","","43","58513","aACWhEHidFAVTWHyP+HmtKXx+HRRxTHXUyYPRJg","EVU","Standard nach Anzahl Stromzähler"
"jDfMggDGRoWBuDuaUKZVZTpFJVfXMnYLKaYT+Qc","wLbQClyVVLibHgDhBSnNPkUZCC+xVzvzvqb+NJf","J09C4011","J09C_L","cYgyRsAYKUwfMJETJPrRXeJnqLWvqeiOdkWzavq","Lüdenscheid","","11","58513","xWtuMToBZkZOhWDptHchIjYTWRlxGACNvTYZBVr","KSA","Standard nach Anzahl Stromzähler"
"WEDuYSdSTGEvyZSjYFNYBVjMlywSCQwHeIoQwLS","ckurZjzkYGQZZNspVSYzQDucYBNVNI+uBTHsajS","J09C5081","J09C","mVgWqNSYGheIENWZBqSNtsHXTsZBks/lvXpmFJL","Altena","Dahle","36","58762","QlPYzJRrMTMZDOcEtWHYLm+TGtQCCgEjSlFQZLe","KSA","Standard nach Anzahl Stromzähler"
"RohVVAyUfrhtqZyBFHcLtOoSNKrUhsMUilXUfEB","NRoEFtQXzyhZANl+WNZEQawizRVrNxMCekVqkey","J09C1622","J09C_J","YeJUZURTlBVDMkgtRxSQSrOdHsPYeLpZHLeYZQa","Hagen","Halden","60","58093","ZuBLqZXZZKxqZKRTgYqRUlfEIaUbBeZnd/MVKLM","EVU","Standard nach Anzahl Stromzähler"
"ip+IQLzYrTYygYSRGpJilLvyNyGVXweVgJGRbQJ","LWUYzlyxvftWMSaQQztMWVThXqTEREPQToFcyKS","J09C6106","J09C","byQ+RPOwadQIMqYN+LMXrUiLqUZwDkXLaaVzTTd","Neuenrade","Neuenrade","35","58809","KZVdtIzVgKIBVlN/UFLyFeQXsMMnss+XQCZdxkk","KSA","Standard nach Anzahl Stromzähler"
"XDcDFQAp+yJxdUWSG+EgRCZeyJWfADsWcdX/Sau","GaornFXQsTZUpqjUnzuuMX/gXcsaZUVTsJZUqPf","J09C1621","J09C_J","BstSCD+AZYkspmpZfuzQJsNZVDSYWXZuorrEkSy","Hagen","Halden","21","58093","EMxRTtXdXn+H/WVqmcMfZTZvyYkdMkpKVZIdSMJ","KSA","Standard nach Anzahl Stromzähler"
"EeMvcUEhlFbdySxNBQqaSamItlTVUMbSUBtOXQc","iZnNWJBVitJJlKQKseavGWPSfKzjFfVgMEOLGcK","J09C1631","J09C_J","RyGjGA+mRFEQRiwRLtRSRCcxFUqaIYunDjnHxZi","Hagen","Herbeck","21","58093","AvdDHZKUnmFZGSLutRPkIVXDYYsBnUzJRETURdn","EVU","Standard nach Anzahl Stromzähler"
"OC/eQSXTIKVaxZangHLEa+rJeKQaYSoXdSQSfXm","cZiZaTUyHclI/KG+cRqT/AsSCLCJBZTRftwRJV+","J09C3401","J09C_J","QnXWbnygwdRzxQXRsQ/KeTt+IYUledWwkqVKd/b","Hagen","Hohenlimburg","9","58093","YxCVIGsTRQSvXtYUSmpJV+XVTAH/QkSZD/XpGhh","EVU","Standard nach Anzahl Stromzähler"
"HgRCSKOhsRLRkMMIQEFReptTZcJq//fmnrnkOTA","RonVn/dwUFYgPCoZGcTdWXyM+RELqEZgSwX/wVZ","J09C3401","J09C_J","ZMpNIYtyVIGyEjC+oNnlsxUasbitgpdXJPG/aZV","Hagen","Hohenlimburg","20","58093","NLVxvZBo+lDTdbsrlVZ/AqBRDOnxmXEnYQ+QjgF","EVU","Standard nach Anzahl Stromzähler"
"JFhYnwocKhYljYzpZfHSVxgzEomRIMRQHZHtYlf","qBwJrOMPuNPqKMOLuQVBijQaGgTXXcZCZDwQNfF","J09C1621","J09C_J","UZZFTD/DTxlIrVbnjhUWyXTjSHTEXzypHTKnHWR","Hagen","Halden","58","58093","ftYadC/uuzfzERkHzpYHZYQghXGCjZftIY+dlzZ","KSA","Standard nach Anzahl Stromzähler"
"SDaVXmbWuR+jARTiPhxAVYSMBUQKkUUvgToNnVk","XjOZeJOVNIySVNkQrkBkZTQtUBPXiKjYmGU+PiQ","J09C4011","J09C_L","lR/WtBbUnARWnQ+amY+vPSuUM/hBYmlYarUUnhT","Lüdenscheid","","47","58513","vZxlN+EDFSXWUVZseWRzDRFUPgKRgatJMwQItRT","EVU","Standard nach Anzahl Stromzähler"
"lOwAuTqU/ymRVnksRkbKzmNaUYEunwQtv/cjDQp","OAGkUXqatIKybpSYYcNTSJoVCuMDXWdkeUUzXdZ","J09C4011","J09C_L","QnXnRRLPLDcgWU/XcXpfB+lHnI/qSHdJnmSBtSZ","Lüdenscheid","","14","58513","yHjWLxYmwSFIGmoTJZVKiLSkqnUWiaKzRUVTheN","KSA","Standard nach Anzahl Stromzähler"
"c+uTftmkd+QVcfZYUoWpaLjVRnWLhvaSSZSa/kr","MDoMZhcxfQrZajDjoo+oYUsVGCUGimqecsuhIoP","J09C5081","J09C","RTTUSQBUQMH/rlRFnKUGJarPYGBmUsnnGFJtvZb","Altena","Dahle","27","58762","YHUpTuTRcwvboiLZwXEorAeTxGWHTAUMVyNKHQL","KSA","Standard nach Anzahl Stromzähler"
"WZptUhQwlfOSzBggTMIYVzPPOrJepUYW/aIzPjY","VU+vIIbJmVbQQYgSviXzEsLsuDy+QUZnYXQTQOU","J09C5483","J09C","IrmWir+oiwTbOJQkgNXwlEabKJYtkFSHSLoBZmz","Halver","Oberbrügge","149","58553","HQVAZVGcbcCLMsmQWRPkjZYReeQMEzxJ/ZmtzUd","KSA","Standard nach Anzahl Stromzähler"
"VCwWfStLKoFJHRAHhPlsq+UTHEtDNeFpcWHAZtV","gTUkTrTGOAPdVpEBSWSIrWGRSdBRVTQJjJrpvcS","J09C1631","J09C_J","zqpSuVdPTzQxRlMxZoTtYVPQzrYsjWFRudxrWob","Hagen","Herbeck","13","58093","dJKSIqSfXYLawOpWtwbH/PkQajhPZKgVMoSjlBT","KSA","Standard nach Anzahl Stromzähler"
